"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (29/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (30/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (31/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (32/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (33/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (34/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (35/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (36/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (37/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (38/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (39/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (40/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (41/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (42/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (43/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (44/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (45/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (46/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (47/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (48/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (49/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (50/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (51/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (52/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (53/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (54/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (55/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (56/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (57/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (58/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (59/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (60/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (72/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (71/86)","2015-10-15 20:25:00",163,212.04,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (63/86)","2015-10-15 20:25:00",169,211.82,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (85/86)","2015-10-15 20:25:00",169,211.82,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (74/86)","2015-10-15 20:25:00",433,206.98,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (83/86)","2015-10-15 20:25:00",595,204.04,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (84/86)","2015-10-15 20:25:00",875,199.92,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (79/86)","2015-10-15 20:25:00",1303,195.82,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (78/86)","2015-10-15 20:25:00",2414,187.64,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (70/86)","2015-10-15 20:25:00",2551,187.34,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (80/86)","2015-10-15 20:25:00",4255,181.88,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (77/86)","2015-10-15 20:25:00",5877,174.22,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (75/86)","2015-10-15 20:25:00",6112,173.42,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (62/86)","2015-10-15 20:25:00",7227,171.32,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (65/86)","2015-10-15 20:25:00",8028,169.1,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (64/86)","2015-10-15 20:25:00",9285,165.88,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (68/86)","2015-10-15 20:25:00",9866,164.4,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (73/86)","2015-10-15 20:25:00",12308,157.92,"$0.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (86/86)","2015-10-15 20:25:00",12539,157.22,"$0.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (76/86)","2015-10-15 20:25:00",13520,155.4,"$0.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (69/86)","2015-10-15 20:25:00",14293,152.68,"$0.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (67/86)","2015-10-15 20:25:00",15080,150.8,"$0.00","$0.00",22700,"$2.00","$40,000.00",10000
